order_id,date,product,category,units_sold,unit_price,revenue,discount_pct,region,sales_rep
1001,2024-01-03,Laptop Pro,Electronics,2,1299.99,2599.98,5,North,Alice
1002,2024-01-05,Office Chair,Furniture,4,249.99,999.96,10,South,Bob
1003,2024-01-07,Python Textbook,Books,10,49.99,499.90,0,East,Carol
1004,2024-01-10,Wireless Mouse,Electronics,15,29.99,449.85,5,West,David
1005,2024-01-12,Standing Desk,Furniture,1,599.99,599.99,15,North,Alice
1006,2024-01-14,Statistics Book,Books,8,39.99,319.92,0,South,Bob
1007,2024-01-17,Monitor 27in,Electronics,3,399.99,1199.97,8,East,Carol
1008,2024-01-20,Keyboard,Electronics,12,79.99,959.88,5,West,David
1009,2024-01-22,Bookshelf,Furniture,2,189.99,379.98,10,North,Alice
1010,2024-01-25,Data Science Book,Books,6,54.99,329.94,0,South,Bob
1011,2024-02-02,Laptop Pro,Electronics,3,1299.99,3899.97,5,East,Carol
1012,2024-02-05,Ergonomic Chair,Furniture,5,299.99,1499.95,12,West,David
1013,2024-02-08,Headphones,Electronics,8,149.99,1199.92,7,North,Alice
1014,2024-02-11,ML Textbook,Books,12,44.99,539.88,0,South,Bob
1015,2024-02-14,USB Hub,Electronics,20,19.99,399.80,0,East,Carol
1016,2024-02-18,Filing Cabinet,Furniture,1,149.99,149.99,5,West,David
1017,2024-02-21,Webcam HD,Electronics,9,89.99,809.91,10,North,Alice
1018,2024-02-24,Calculus Book,Books,7,59.99,419.93,0,South,Bob
1019,2024-03-01,Laptop Pro,Electronics,4,1299.99,5199.96,5,East,Carol
1020,2024-03-04,Desk Lamp,Furniture,11,39.99,439.89,0,West,David
1021,2024-03-07,Tablet,Electronics,6,499.99,2999.94,8,North,Alice
1022,2024-03-10,Physics Book,Books,5,49.99,249.95,0,South,Bob
1023,2024-03-13,SSD 1TB,Electronics,14,109.99,1539.86,5,East,Carol
1024,2024-03-16,Conference Table,Furniture,1,799.99,799.99,20,West,David
1025,2024-03-19,Microphone,Electronics,7,129.99,909.93,10,North,Alice
1026,2024-03-22,Chemistry Book,Books,9,44.99,404.91,0,South,Bob
1027,2024-03-25,Laptop Pro,Electronics,2,1299.99,2599.98,5,East,Carol
1028,2024-03-28,Whiteboard,Furniture,3,89.99,269.97,5,West,David
1029,2024-04-02,Smartphone,Electronics,5,699.99,3499.95,10,North,Alice
1030,2024-04-05,Biology Book,Books,11,39.99,439.89,0,South,Bob
1031,2024-04-08,Laptop Stand,Furniture,18,49.99,899.82,0,East,Carol
1032,2024-04-11,Router WiFi6,Electronics,4,179.99,719.96,8,West,David
1033,2024-04-14,Statistics Book,Books,6,39.99,239.94,0,North,Alice
1034,2024-04-17,Monitor 32in,Electronics,2,549.99,1099.98,10,South,Bob
1035,2024-04-20,Sofa,Furniture,1,899.99,899.99,15,East,Carol
1036,2024-04-23,Earbuds,Electronics,22,59.99,1319.78,5,West,David
1037,2024-04-26,Programming Book,Books,15,34.99,524.85,0,North,Alice
1038,2024-04-29,External HDD,Electronics,8,99.99,799.92,0,South,Bob
1039,2024-05-02,Bookshelf,Furniture,3,189.99,569.97,10,East,Carol
1040,2024-05-05,Laptop Pro,Electronics,5,1299.99,6499.95,5,West,David
